Signal Legend:

Key        Signal Name

0        = VGA_Controller:u1|oAddress[0..18]
1        = camera_read:camera_read_0|wraddr[0..18]
2        = HREF_cam
3        = PCLK_cam
4        = camera_read:camera_read_0|pixel_valid

Data Table:

Signals-> 0      1      2 3 4 

sample

-1816     05A7Fh 00125h 1 0 0 
-1815     05A80h 00126h 1 1 1 
-1814     05A80h 00126h 1 1 1 
-1813     05A80h 00126h 1 0 1 
-1812     05A80h 00126h 1 0 1 
-1811     05A81h 00126h 1 1 0 
-1810     05A81h 00126h 1 1 0 
-1809     05A81h 00126h 1 0 0 
-1808     05A81h 00126h 1 0 1 
-1807     05A82h 00127h 1 1 0 
-1806     05A82h 00127h 1 1 0 
-1805     05A82h 00127h 1 0 0 
-1804     05A82h 00127h 1 0 0 
-1803     05A83h 0012Fh 1 1 1 
-1802     05A83h 00128h 1 1 1 
-1801     05A83h 00128h 1 1 1 
-1800     05A83h 00128h 1 0 1 
-1799     05A84h 00128h 1 0 0 
-1798     05A84h 00128h 1 1 0 
-1797     05A84h 00128h 1 1 0 
-1796     05A84h 00128h 1 0 0 
-1795     05A85h 00128h 1 0 0 
-1794     05A85h 00129h 1 1 1 
-1793     05A85h 00129h 1 1 1 
-1792     05A85h 00129h 1 0 1 
-1791     05A86h 00129h 1 0 1 
-1790     05A86h 00129h 1 1 0 
-1789     05A86h 00129h 1 1 0 
-1788     05A86h 00129h 1 0 0 
-1787     05A87h 00129h 1 0 0 
-1786     05A87h 0012Bh 1 1 1 
-1785     05A87h 0012Ah 1 1 1 
-1784     05A87h 0012Ah 1 0 1 
-1783     05A88h 0012Ah 1 0 1 
-1782     05A88h 0012Ah 1 1 0 
-1781     05A88h 0012Ah 1 1 0 
-1780     05A88h 0012Ah 1 0 0 
-1779     05A89h 0012Ah 1 0 0 
-1778     05A89h 0012Ah 1 1 1 
-1777     05A89h 0012Bh 1 1 1 
-1776     05A89h 0012Bh 1 1 1 
-1775     05A8Ah 0012Bh 1 0 1 
-1774     05A8Ah 0012Bh 1 0 0 
-1773     05A8Ah 0012Bh 1 1 0 
-1772     05A8Ah 0012Bh 1 1 0 
-1771     05A8Bh 0012Bh 1 0 0 
-1770     05A8Bh 0012Bh 1 0 0 
-1769     05A8Bh 0012Ch 1 1 1 
-1768     05A8Bh 0012Ch 1 1 1 
-1767     05A8Ch 0012Ch 1 0 1 
-1766     05A8Ch 0012Ch 1 0 1 
-1765     05A8Ch 0012Ch 1 1 0 
-1764     05A8Ch 0012Ch 1 1 0 
-1763     05A8Dh 0012Ch 1 0 0 
-1762     05A8Dh 0012Ch 1 0 0 
-1761     05A8Dh 0012Ch 1 1 1 
-1760     05A8Dh 0012Dh 1 1 1 
-1759     05A8Eh 0012Dh 1 0 1 
-1758     05A8Eh 0012Dh 1 0 1 
-1757     05A8Eh 0012Dh 1 1 0 
-1756     05A8Eh 0012Dh 1 1 0 
-1755     05A8Fh 0012Dh 1 0 0 
-1754     05A8Fh 0012Dh 1 0 0 
-1753     05A8Fh 0012Dh 1 1 1 
-1752     05A8Fh 0012Eh 1 1 1 
-1751     05A90h 0012Eh 1 1 1 
-1750     05A90h 0012Eh 1 0 1 
-1749     05A90h 0012Eh 1 0 0 
-1748     05A90h 0012Eh 1 1 0 
-1747     05A91h 0012Eh 1 1 0 
-1746     05A91h 0012Eh 1 0 0 
-1745     05A91h 0012Eh 1 0 0 
-1744     05A91h 0012Fh 1 1 1 
-1743     05A92h 0012Fh 1 1 1 
-1742     05A92h 0012Fh 1 0 1 
-1741     05A92h 0012Fh 1 0 1 
-1740     05A92h 0012Fh 1 1 0 
-1739     05A93h 0012Fh 1 1 0 
-1738     05A93h 0012Fh 1 0 0 
-1737     05A93h 0012Fh 1 0 0 
-1736     05A93h 00131h 1 1 1 
-1735     05A94h 00130h 1 1 1 
-1734     05A94h 00130h 1 0 1 
-1733     05A94h 00130h 1 0 1 
-1732     05A94h 00130h 1 1 0 
-1731     05A95h 00130h 1 1 0 
-1730     05A95h 00130h 1 0 0 
-1729     05A95h 00130h 1 0 0 
-1728     05A95h 00130h 1 1 1 
-1727     05A96h 00131h 1 1 1 
-1726     05A96h 00131h 1 1 1 
-1725     05A96h 00131h 1 0 1 
-1724     05A96h 00131h 1 0 0 
-1723     05A97h 00131h 1 1 0 
-1722     05A97h 00131h 1 1 0 
-1721     05A97h 00131h 1 0 0 
-1720     05A97h 00131h 1 0 0 
-1719     05A98h 00132h 1 1 1 
-1718     05A98h 00132h 1 1 1 
-1717     05A98h 00132h 1 0 1 
-1716     05A98h 00132h 1 0 1 
-1715     05A99h 00132h 1 1 0 
-1714     05A99h 00132h 1 1 0 
-1713     05A99h 00132h 1 0 0 
-1712     05A99h 00132h 1 0 0 
-1711     05A9Ah 00132h 1 1 1 
-1710     05A9Ah 00133h 1 1 1 
-1709     05A9Ah 00133h 1 0 1 
-1708     05A9Ah 00133h 1 0 1 
-1707     05A9Bh 00133h 1 1 0 
-1706     05A9Bh 00133h 1 1 0 
-1705     05A9Bh 00133h 1 0 0 
-1704     05A9Bh 00133h 1 0 0 
-1703     05A9Ch 00133h 1 1 1 
-1702     05A9Ch 00134h 1 1 1 
-1701     05A9Ch 00134h 1 1 1 
-1700     05A9Ch 00134h 1 0 1 
-1699     05A9Dh 00134h 1 0 0 
-1698     05A9Dh 00134h 1 1 0 
-1697     05A9Dh 00134h 1 1 0 
-1696     05A9Dh 00134h 1 0 0 
-1695     05A9Eh 00134h 1 0 0 
-1694     05A9Eh 00135h 1 1 1 
-1693     05A9Eh 00135h 1 1 1 
-1692     05A9Eh 00135h 1 0 1 
-1691     05A9Fh 00135h 1 0 0 
-1690     05A9Fh 00137h 1 1 1 
-1689     05A9Fh 00136h 1 1 1 
-1688     05A9Fh 00136h 1 0 1 
-1687     05AA0h 00136h 1 0 1 
-1686     05AA0h 00136h 1 1 0 
-1685     05AA0h 00136h 1 1 0 
-1684     05AA0h 00136h 1 0 0 
-1683     05AA1h 00136h 1 0 0 
-1682     05AA1h 00136h 1 1 1 
-1681     05AA1h 00137h 1 1 1 
-1680     05AA1h 00137h 1 0 1 
-1679     05AA2h 00137h 1 0 1 
-1678     05AA2h 00137h 1 1 0 
-1677     05AA2h 00137h 1 1 0 
-1676     05AA2h 00137h 1 1 0 
-1675     05AA3h 00137h 1 0 0 
-1674     05AA3h 00137h 1 0 1 
-1673     05AA3h 00138h 1 1 1 
-1672     05AA3h 00138h 1 1 1 
-1671     05AA4h 00138h 1 0 1 
-1670     05AA4h 00138h 1 0 1 
-1669     05AA4h 00138h 1 1 0 
-1668     05AA4h 00138h 1 1 0 
-1667     05AA5h 00138h 1 0 0 
-1666     05AA5h 00138h 1 0 0 
-1665     05AA5h 00139h 1 1 1 
-1664     05AA5h 00139h 1 1 1 
-1663     05AA6h 00139h 1 0 1 
-1662     05AA6h 00139h 1 0 1 
-1661     05AA6h 00139h 1 1 0 
-1660     05AA6h 00139h 1 1 0 
-1659     05AA7h 00139h 1 0 0 
-1658     05AA7h 00139h 1 0 0 
-1657     05AA7h 00139h 1 1 1 
-1656     05AA7h 0013Ah 1 1 1 
-1655     05AA8h 0013Ah 1 0 1 
-1654     05AA8h 0013Ah 1 0 1 
-1653     05AA8h 0013Ah 1 1 0 
-1652     05AA8h 0013Ah 1 1 0 
-1651     05AA9h 0013Ah 1 1 0 
-1650     05AA9h 0013Ah 1 0 0 
-1649     05AA9h 0013Ah 1 0 1 
-1648     05AA9h 0013Bh 1 1 1 
-1647     05AAAh 0013Bh 1 1 1 
-1646     05AAAh 0013Bh 1 0 1 
-1645     05AAAh 0013Bh 1 0 1 
-1644     05AAAh 0013Bh 1 1 0 
-1643     05AABh 0013Bh 1 1 0 
-1642     05AABh 0013Bh 1 0 0 
-1641     05AABh 0013Bh 1 0 0 
-1640     05AABh 0013Ch 1 1 1 
-1639     05AACh 0013Ch 1 1 1 
-1638     05AACh 0013Ch 1 0 1 
-1637     05AACh 0013Ch 1 0 1 
-1636     05AACh 0013Ch 1 1 0 
-1635     05AADh 0013Ch 1 1 0 
-1634     05AADh 0013Ch 1 0 0 
-1633     05AADh 0013Ch 1 0 0 
-1632     05AADh 0013Ch 1 1 1 
-1631     05AAEh 0013Dh 1 1 1 
-1630     05AAEh 0013Dh 1 0 1 
-1629     05AAEh 0013Dh 1 0 1 
-1628     05AAEh 0013Dh 1 1 0 
-1627     05AAFh 0013Dh 1 1 0 
-1626     05AAFh 0013Dh 1 1 0 
-1625     05AAFh 0013Dh 1 0 0 
-1624     05AAFh 0013Dh 1 0 1 
-1623     05AB0h 0013Eh 1 1 1 
-1622     05AB0h 0013Eh 1 1 1 
-1621     05AB0h 0013Eh 1 0 1 
-1620     05AB0h 0013Eh 1 0 1 
-1619     05AB1h 0013Eh 1 1 0 
-1618     05AB1h 0013Eh 1 1 0 
-1617     05AB1h 0013Eh 1 0 0 
-1616     05AB1h 0013Eh 1 0 0 
-1615     05AB2h 0013Fh 1 1 1 
-1614     05AB2h 0013Fh 1 1 1 
-1613     05AB2h 0013Fh 1 0 1 
-1612     05AB2h 0013Fh 1 0 1 
-1611     05AB3h 0013Fh 1 1 0 
-1610     05AB3h 0013Fh 1 1 0 
-1609     05AB3h 0013Fh 1 0 0 
-1608     05AB3h 0013Fh 1 0 0 
-1607     05AB4h 00163h 1 1 1 
-1606     05AB4h 00140h 1 1 1 
-1605     05AB4h 00140h 1 0 1 
-1604     05AB4h 00140h 1 0 1 
-1603     05AB5h 00140h 1 1 0 
-1602     05AB5h 00140h 1 1 0 
-1601     05AB5h 00140h 1 1 0 
-1600     05AB5h 00140h 1 0 0 
-1599     05AB6h 00140h 1 0 1 
-1598     05AB6h 00141h 1 1 1 
-1597     05AB6h 00141h 1 1 1 
-1596     05AB6h 00141h 1 0 1 
-1595     05AB7h 00141h 1 0 1 
-1594     05AB7h 00141h 1 1 0 
-1593     05AB7h 00141h 1 1 0 
-1592     05AB7h 00141h 1 0 0 
-1591     05AB8h 00141h 1 0 0 
-1590     05AB8h 00142h 1 1 1 
-1589     05AB8h 00142h 1 1 1 
-1588     05AB8h 00142h 1 0 1 
-1587     05AB9h 00142h 1 0 1 
-1586     05AB9h 00142h 1 1 0 
-1585     05AB9h 00142h 1 1 0 
-1584     05AB9h 00142h 1 0 0 
-1583     05ABAh 00142h 1 0 0 
-1582     05ABAh 00142h 1 1 1 
-1581     05ABAh 00143h 1 1 1 
-1580     05ABAh 00143h 1 0 1 
-1579     05ABBh 00143h 1 0 1 
-1578     05ABBh 00143h 1 1 0 
-1577     05ABBh 00143h 1 1 0 
-1576     05ABBh 00143h 1 1 0 
-1575     05ABCh 00143h 1 0 0 
-1574     05ABCh 00143h 1 0 1 
-1573     05ABCh 00144h 1 1 1 
-1572     05ABCh 00144h 1 1 1 
-1571     05ABDh 00144h 1 0 1 
-1570     05ABDh 00144h 1 0 1 
-1569     05ABDh 00144h 1 1 0 
-1568     05ABDh 00144h 1 1 0 
-1567     05ABEh 00144h 1 0 0 
-1566     05ABEh 00144h 1 0 0 
-1565     05ABEh 00145h 1 1 1 
-1564     05ABEh 00145h 1 1 1 
-1563     05ABFh 00145h 1 0 1 
-1562     05ABFh 00145h 1 0 1 
-1561     05ABFh 00145h 1 1 0 
-1560     05ABFh 00145h 1 1 0 
-1559     05AC0h 00145h 1 0 0 
-1558     05AC0h 00145h 1 0 0 
-1557     05AC0h 00145h 1 1 1 
-1556     05AC0h 00146h 1 1 1 
-1555     05AC1h 00146h 1 0 1 
-1554     05AC1h 00146h 1 0 1 
-1553     05AC1h 00146h 1 1 0 
-1552     05AC1h 00146h 1 1 0 
-1551     05AC2h 00146h 1 1 0 
-1550     05AC2h 00146h 1 0 0 
-1549     05AC2h 00146h 1 0 1 
-1548     05AC2h 00147h 1 1 1 
-1547     05AC3h 00147h 1 1 1 
-1546     05AC3h 00147h 1 0 1 
-1545     05AC3h 00147h 1 0 1 
-1544     05AC3h 00147h 1 1 0 
-1543     05AC4h 00147h 1 1 0 
-1542     05AC4h 00147h 1 0 0 
